"n°";"URL LinkedIn";"Accroche";"Likes";"Commentaires";"Corps du texte";"Lien de l'image";"Catégories";"Date"
"33";"https://www.linkedin.com/posts/arthur-de-lassus_la-chine-a-install%C3%A9-%C3%A0-date-un-peu-plus-activity-7361298325381283842-Du_7";"La Chine a installé, à date, un peu plus de 1 000 GW de solaire sur tout le pays.";"20";"2";"La Chine a installé, à date, un peu plus de 1 000 GW de solaire sur tout le pays.

Ce qui est le plus étonnant (pour nous français en tout cas), c'est que, grosso modo, la moitié du solaire est sur des toits et l'autre sur le sol en fermes solaires.

Les chinois ont un système astucieux où ils groupent l'installation de PV sur toitures, localité après localité pour réduire drastiquement les coûts d'installation.

Si seulement on était capable de faire la même chose dans un pays aussi centralisé que la France...

Pour information, en mode plus capitaliste, l'Australie a des coûts d'installation de PV sur toiture inférieurs à 1$/Wc installé (2€/Wc en France).
Une installation 2 fois moins chère à l'achat, c'est une électricité locale deux fois moins chère sur 25+ans (modulo l'actualisation).
1€/kWc donne grand max 5c€/kWh sur 20 ans (hors actualisation) si tout est consommé.
Avec une batterie pas trop chère et un système bien dimensionné, on monte à max 10c€/kWh consommé.

Le kWh est à 20c€ TTC en France actuellement.

Installateurs, abaissez vos prix d'installations solaires (et/ou travaillez au corps le réglementateur pour que l'installation soit plus simple/rapide, ce n'est pas normal qu'aussi peu de maison ait du solaire) !";"Images/posts/7361298325381283842.jpg";"Énergie";"2025-08-13"
"34";"https://www.linkedin.com/posts/arthur-de-lassus_puits-de-carbone-technologiques-rencontres-activity-7358021439532195841-YPBl";"Puits de carbone technologiques - Rencontres académiques (2024)";"64";"49";"Puits de carbone technologiques - Rencontres académiques (2024)";"Images/posts/7358021439532195841.jpg";"Liens & veille, Énergie";"2025-08-04"
"35";"https://www.linkedin.com/posts/arthur-de-lassus_les-lobbys-gaziers-allemands-devraient-prendre-activity-7355963989014519809-cvF-";"Les lobbys gaziers allemands devraient prendre des cours chez leurs collègues français...";"59";"57";"Les lobbys gaziers allemands devraient prendre des cours chez leurs collègues français...

Pour la première fois, il se vend plus de pompes à chaleur que de chaudières gaz en Allemagne.

✅ Interdiction nationale des chaudières à combustibles fossiles dans les nouveaux bâtiments
✅ Règles strictes au niveau européen en matière de chauffage renouvelable
✅ Financement public pour aider les ménages à effectuer la transition

Bravo à l'Allemagne

et dire qu'il y en a encore qui disent que l'Allemagne veut rester au gaz...

La transition est complexe, c'est une gigantesque négociation sociale où différentes factions s'affrontent.
Schöder et Gazprom ont gagné pendant des années en Allemagne mais maintenant c'est fini (il faut rester vigilant, la bête bouge encore).

Force est de constater que nos lobbys gaziers en France savent mieux si prendre pour retarder l'inéluctable : l'électrification quasi-totale de nos logements.

Source en commentaire";"Images/posts/7355963989014519809.jpg";"Bâtiment & rénovation, Politique & débats";"2025-07-29"
"36";"https://www.linkedin.com/posts/arthur-de-lassus_d%C3%A9tails-tr%C3%A8s-int%C3%A9ressants-pour-voir-le-travail-activity-7354614859696619521-Q_5k";"Détails très intéressants pour voir le travail de fourmi nécessaire pendant des années pour réussir à ne pas importer/importer le moins possible de pétrole de Russie.";"2";"1";"Détails très intéressants pour voir le travail de fourmi nécessaire pendant des années pour réussir à ne pas importer/importer le moins possible de pétrole de Russie.

C'est exactement cette attitude/cette constance et cette détermination dont on a besoin pour botter tous les fossiles hors de notre économie.

Bravo au CREA, une ONG à suivre !";"Images/posts/7354614859696619521.jpg";"Énergie, Politique & débats";"2025-07-25"
"37";"https://www.linkedin.com/posts/arthur-de-lassus_aujourdhui-cest-le-jour-du-d%C3%A9passement-activity-7354139772325380096-678V";"Aujourd'hui, c'est le jour du dépassement";"25";"5";"Aujourd'hui, c'est le jour du dépassement
et vraiment, il faut arrêter d'utiliser cet indicateur.

Le jour du déplacement calculé par l'ONG Global Footprint Network a un mérite, il est très simple, il donne une date. Et comme ça, on peut en parler tous les ans. Tous les ans, la date se rapproche du 1er janvier, et tous les ans, on comprend que la situation empire.

La conclusion est bonne, l'indicateur utilisé ne l'est vraiment pas.
Je vous explique pourquoi.

Qu’est-ce qu’il y a dans cet indicateur ?

En immense majorité : notre empreinte carbone.
L’indicateur calcule nos émissions et les surfaces d’arbres qu’il faudrait planter pour les annuler. Comme les surfaces disponibles ne suffisent pas, on a un “jour du dépassement”.

C’est aussi bête que cela !
(pour ceux qui veulent le détail, lien en commentaire).

Pourquoi cela ne va pas ?

Où sont passés les enjeux en eau, en sol, en biodiversité, en azote, en phosphore, en ozone etc ?
Nulle part.

La situation écologique n’est pas bonne, elle empire et pour comprendre la complexité des enjeux, un cadre comme celui des frontières planétaires (Planetary Boundaries) est largement préférable.
Il n’est pas parfait mais il prend, au moins, différentes dimensions et ne les agrège pas en une seule métrique.

Si vous voulez en savoir plus, vous pouvez participer à une fresque (lien en commentaire).

La question écologique mérite mieux que cet indicateur.";"Images/posts/7354139772325380096.jpg";"Ordres de grandeur & mythes, Société & post-croissance";"2025-07-24"
"38";"https://www.linkedin.com/posts/arthur-de-lassus_l%C3%A9tude-de-linsee-qui-enterre-la-r%C3%A9novation-activity-7350777479558569985-C0OE";"L'étude de l'INSEE qui enterre la rénovation énergétique monogeste.";"48";"110";"L'étude de l'INSEE qui enterre la rénovation énergétique monogeste.

L'INSEE et le SDES viennent de sortir une étude de très grande qualité qui permet de mesurer en condition réelle les gains énergétiques suite à une isolation monogeste (changement de fenêtre, isolation des combles…).
La base totale compte 1 million de ménages français et 80 000 ménages qui ont rénové leur logement.

1/ Il y a bien une baisse observée de la consommation énergétique suite à la rénovation de 5 à 10%.
2/ Le gain énergétique effectivement mesuré est entre 2 et 3 fois plus bas que ce que les modèles donnent théoriquement. Les modèles ne sont pas tant à blâmer, la question est plutôt sur la manière dont les occupants interagissent avec leur logement rénové.

Ces investissements de rénovation ont un coût
Ils permettent des gains en énergie, en euros et en CO2.
Quelle est donc la rentabilité ?

Avant de commencer, quel est le niveau d’une rentabilité raisonnable, vu de la société ?
Je propose : 10 ans et 200-300€/tCO2.
Et encore, si tout le monde pouvait internaliser ces niveaux de rendement, le monde serait très très différent de celui que l’on connaît. Pour la plupart des citoyens que je croise, une rentabilité inférieure à 4-5 ans est difficile à envisager et 100€/tCO2 est déjà ambitieux (pour du PV, un VE, une PAC etc).

Revenons à notre étude et aux rentabilité qu’elle révèle.
Ce qui est le plus important tient en 2 sous-parties :
3.1/ Il faut entre 92 et 118 ans pour rentabiliser l'investissement [1].
3.2/ Le coût de la rénovation est entre 2 800 et 14 500 € par tonne de CO2 évités [1].

👉 Donc, les rénovations étudiées ici n'ont aucun sens financier et climatique. 👈 
Il n'y a pas que le climat et les sous dans la vie, et on peut rénover pour d'autres raisons (insalubrité des logements par exemple). L'écart aux rentabilités “raisonnables” reste gigantesque.

Je sais très bien que la rénovation est un sujet extrêmement populaire dans le milieu écologique.
Ces données en situation réelle doivent amener à un profond reset de la manière dont on aborde la question de la rénovation en France.
Cette étude regarde majoritairement des mono-gestes. Faut-il mettre fin à ces subventions ? Je pense que oui !
Pourquoi s'échiner à rénover au lieu de, parfois, déconstruire et construire ? (cf scénario 3 de l'ADEME)
Est-ce qu'il n'est pas préférable de se focaliser sur certains types très précis de réno et regarder simplement la décarbonation (PAC ou clim réversible cf mon article en commentaire) pour le reste des logements ?

Le temps nous est compté pour décarboner, les € aussi.
Pour mener à bien notre décarbonation et pour donner des conditions de logements dignes à tous les français, il faut un reset de nos réflexions sur la rénovation.

Je suis très loin d'avoir la réponse aux questions que je pose.
Cette étude sur données réelles de l'INSEE et du SDES est un bon point d'entrée pour provoquer un électrochoc sur le sujet.
On en discute en commentaire (les sources y sont).";"Images/posts/7350777479558569985.jpg";"Bâtiment & rénovation, Ordres de grandeur & mythes";"2025-07-15"
"39";"https://www.linkedin.com/posts/arthur-de-lassus_si-vous-en-avez-marre-de-ne-rien-comprendre-activity-7348342076620627971-oALG";"Si vous en avez marre de ne rien comprendre aux marchés de l'électricité, rendez-vous de soir de 20h à 22h avec un expert accessible et compétent pour répondre à vos questions !";"10";"2";"Si vous en avez marre de ne rien comprendre aux marchés de l'électricité, rendez-vous de soir de 20h à 22h avec un expert accessible et compétent pour répondre à vos questions !
Ca n'arrive pas tous les jours, vu le nombre d'âneries qui circulent sur ce sujet complexe, profitez-en.

J'y serai";"Images/posts/7348342076620627971.jpg";"Énergie, Ordres de grandeur & mythes";"2025-07-08"
"40";"https://www.linkedin.com/posts/arthur-de-lassus_la-clim-aggrave-les-%C3%AElots-de-chaleur-pas-activity-7346055106330591233-LvL2";"La clim aggrave les îlots de chaleur ?";"110";"58";"La clim aggrave les îlots de chaleur ? 
Pas si simple ! 👇 

""Ca aggrave fortement les îlots de chaleur"" est l'affirmation souvent brandie pour freiner sur la clim.

Une étude (Viguié et al, 2020) est (quasiment) tout le temps brandie disant que ""ça rajoute jusqu'à +4°C de réchauffement"".

Cette phrase est strictement vraie, mais elle est largement trompeuse.

En fait, après 9 jours de canicule comme celle de 2003, avec tous les parisiens avec la clim à 23°C ça donne :
-1/3 de Paris à +0°C
-2/3 de Paris à +0,5°C
-1/6 du XVème entre +1 et +2°C
-certains endroits très restreints en banlieue à +4°C

La généralisation de la climat intensive ne provoque pas un surcroît de chaleur en extérieur énorme, mais un surcroît de chaleur tout de même.
En extérieur, les parisiens et banlieusards passent de 20h30 sous stress thermique à 20h38 si tout le monde en intérieur est climatisé à 23°C.
Voilà la réalité de l'impact de la clim en extérieur.

Voilà, c'est tout ce que j'avais à dire sur le sujet.

Si vous voulez en savoir plus sur les nombreux mythes qui circulent sur cet objet technique entouré de débats passionnés, c'est ici 👇 
https://lnkd.in/eMB6VUpy

Personnellement, j'en ai marre d'avoir dans mon espace informationnel des informations trompeuses.
Likez ce post pour participer à une information qui cherche à donner des informations techniques la plus complète possible afin de faire des choix sociaux et politiques éclairés.
On en a bien besoin en ce moment !

Il fait chaud, prenez soin de vous !

Source : https://lnkd.in/eaeHafPd";"Images/posts/7346055106330591233.jpg";"Clim & chaleur, Ordres de grandeur & mythes";"2025-07-02"
"41";"https://www.linkedin.com/posts/arthur-de-lassus_pour-un-droit-%C3%A0-la-fra%C3%AEcheur-par-la-clim-activity-7345742297692577793-5f1X";"Pour un droit à la fraîcheur par la clim (et pas que)";"159";"160";"Pour un droit à la fraîcheur par la clim (et pas que)";"Images/posts/7345742297692577793.jpg";"Clim & chaleur";"2025-07-01"
"42";"https://www.linkedin.com/posts/arthur-de-lassus_il-est-grand-temps-de-lancer-un-droit-%C3%A0-la-activity-7345330267940679680-oKLk";"Il est grand temps de lancer un droit à la fraîcheur !";"48";"101";"Il est grand temps de lancer un droit à la fraîcheur !

Nous vivons une nième canicule, les corps souffrent, les plus fragiles meurent et le monde regarde ailleurs.

Les arbres, l'isolation, la ventilation, les appartements traversants c'est bien.
Mais après une semaine de canicule, c'est insuffisant.

Il y a une évidence, malheureusement pas partagée.
La climatisation est indispensable.

Il est grand temps que l'Etat subventionne l'installation de clim performantes dans tous les foyers de France avec UNE condition : la chaudière fioul ou gaz 👉 poubelle !

L'hiver on a froid et on se chauffe. Normal.
L'été il fait trop chaud, on se refroidit, normal (en tout cas il faudrait que ça le soit).
La clim réversible est le seul objet technique qui fasse les deux !

La proposition est simple : on utilise le besoin physiologique de fraîcheur de nos concitoyens pour ""offrir"" une offre de confort décarbonée et faire baisser la facture.
1/ TVA 5,5%
2/ subvention au même niveau qu'une pompe à chaleur
3/ installation par un professionnel pour que les choses soient bien faites

Généralement les arguments anti-clim sont :
-ça consomme énormément
-ça réchauffe trop l'air extérieur
-ça réchauffe le climat
-ça provoque un cercle vicieux climatique (canicule->clim->CO2->canicule...)
-si j'en ai oublié dites le moi en commentaire

Ces arguments sont soit faux, soit trompeurs, soit facilement évitables.

Je ne peux pas détailler tout dans ce post Linkedin. Donc je ferai un post par jour cette semaine pour expliquer la rationalité économique derrière la mesure et expliquer les mauvaises conceptions autour de la clim
Liker, dites moi celui qui vous intéresse le plus (ou là où je fais fausse route) et l'algorithme vous représentera mes posts cette semaine !

Le mouvement écolo a les moyens de se faire aimer de la population.
Il faut mettre ensemble une bonne compréhension technique du sujet et la proposition socio-politique cohérente.

Juste, imaginez la tête de Pascal Praud en entendant Sandrine Rousseau annoncer un grand plan clim (réversible) 🤣 !";"Images/posts/7345330267940679680.jpg";"Clim & chaleur, Politique & débats";"2025-06-30"
"43";"https://www.linkedin.com/posts/arthur-de-lassus_lhistoire-industrielle-%C3%A9cologique-du-xxie-activity-7341933339957768193-QFH5";"L’histoire industrielle écologique du XXIe siècle est en train de s’écrire en Chine";"4";"0";"L’histoire industrielle écologique du XXIe siècle est en train de s’écrire en Chine";"Images/posts/7341933339957768193.jpg";"Liens & veille, Énergie";"2025-06-20"
"44";"https://www.linkedin.com/posts/arthur-de-lassus_a-cause-du-r%C3%A9chauffement-climatique-nous-activity-7338807058730762241-sRfT";"A cause du réchauffement climatique, nous pourrions avoir, à Paris, des vagues de froid à -18°C.";"77";"15";"A cause du réchauffement climatique, nous pourrions avoir, à Paris, des vagues de froid à -18°C.
Cela n'est pas une blague, cela demande de la nuance et des explications. 👇 

Pourquoi un climat plus chaud provoquerait des hivers plus intenses en Europe ?

Car le système climatique est une machinerie belle, fragile et complexe. Et que le rythme actuel de réchauffement pourrait la modifier profondément.

Notamment, il est possible que l'AMOC s'arrête pendant ce siècle.

Qu'est-ce que l'AMOC ?
La circulation méridionale de retournement dans l'Atlantique (AMOC) est un système de circulation à grande échelle dans l'océan Atlantique. Elle joue un rôle clé dans la redistribution de la chaleur dans l'océan et influence considérablement les climats mondiaux et régionaux. 

L'arrêt de l'AMOC est loin d'être une certitude scientifique. En fait, suivre les publications qui tombent sur le sujet, c'est faire le yo-yo émotionnel car la réponse est parfois ""oui,"" parfois ""non"".

En revanche, c'est une possibilité qu'il est nécessaire d'étudier pour s'y préparer. Et, jusqu'à hier, nous n'avions pas d'étude récente qui regardait l'impact précis de l'arrêt de l'AMOC. Une étude vient de donner des informations capitales.

Nos étés ne changeraient pas énormément (par rapport à un monde à +2°C), 
Nos hivers européens seraient vraiment plus froids (en moyenne et en pic).
D'où, à Paris, des hivers 5°C plus froids en moyenne sans AMOC et tous les 10 ans des points à -18°C.
Les impacts, notamment sur l'agriculture (et je suis maraîcher) seraient gigantesques.

Ce qu'il faut retenir d'après moi :
1/ Les conséquences du changement climatique sont très désagréables et en partie imprévisibles.
2/ La baisse des émissions est urgente et se débarrasser des énergies fossiles est possible. Tout ce qui utilise du charbon, du pétrole et du gaz doit aller à la ferraille le plus vite possible.
3/ L'adaptation est nécessaire et complémentaire.

Quand j'ai donné les évolutions de température à quelqu'un, il m'a dit ""ça me rassure, il fera pas trop chaud l'été"". Les bras m'en sont tombés.
A votre avis, comment faut-il présenter le problème ?

Pour avoir plus de détails sur la publication, c'est ici. (anglais)
https://lnkd.in/ewTBaagD
Il y a même un atlas interactif pour étudier les différentes conséquences de manière précise
Et pour l'étude en elle-même, c'est ici.
https://lnkd.in/ePGzAtD3";"Images/posts/7338807058730762241.jpg";"Clim & chaleur";"2025-06-12"
"45";"https://www.linkedin.com/posts/arthur-de-lassus_im-very-please-to-share-the-video-of-avenirs-activity-7338497873396858880-C-ye";"I'm very please to share the video of Avenirs Energétiques's latest workshop with Sharon Wilson about gas exploitation and raw methane leaks/emissions.";"14";"3";"I'm very please to share the video of Avenirs Energétiques's latest workshop with Sharon Wilson about gas exploitation and raw methane leaks/emissions.

Methane emissions is a major topic: the International Energy Agency (IEA) estimates that cutting these emissions by 75% by 2030 is vital to reach our climate targets. But where do these emissions come from, and why do we have them?

Sharon has been gathering data and filming methane emissions with her optical gas camera for the past 12 years - and documenting O&G impacts for the past 20 years.

If you want to see the full life cycle of gas, from shale wells to regasification terminals, and understand what fracking, or flaring, mean, you have to see this video. It's simply amazing, you'll see all the steps filmed, together with their methane emissions

Few take-aways

▪Forget calling these emissions leaks: real leaks represent only 6% of total emissions. They come in fact from technical constraints as you need to vent the gas for different reasons

▪While there are indeed technological improvements, the US O&G industry works like your average car workshop in the country side. For years, the industry has been fighting against any kind of regulations, has been disclosing incorrect data about its emissions and massively polluting. Today you have hundreds of thousands of abandoned wells in the US which have to be treated. It's chaos

▪Gas shales are located literally in the middle of cities - I didn't know that and it's really impressive

 ▪We discuss the pro and cons of flaring vs raw methane emissions: either you have CO2 emissions released or harmful gas + methane which has a shorter life time in a atmosphere but >80x the greenhouse effect compared to CO2

This chaos is confirmed by the data: the US is by far the n°1 emitter of methane, with Russia the 2nd emitter, and the rest is 50% less or way below.

With close to no regulation, and with subsidies received for decades to build our existing infrastructures, it's no surprise that fossil fuel were cheap. After watching the video, you'll see how the IMF report about fossil fuel subsidies (which have now reached 7 trillions/y globally) is on point.

It's high time we turn this page of our industrial history. One of the challenges is jobs: the O&G industry, like coal before, has many workers. There are a lot of skills in this industry which can be used in many exciting ways and fuel the growth of low carbon technologies: offshore wind, geothermal, floating solar, C&I, onshore wind, solar, hydrogen, SAF.

Altogether, by 2050 the energy sector should provide MORE jobs than what we have today.

https://lnkd.in/eyS5cU9h";"Images/posts/7338497873396858880.jpg";"Médias & vulgarisation, Énergie";"2025-06-11"
"46";"https://www.linkedin.com/posts/arthur-de-lassus_quelles-sont-les-3-plus-grands-victoires-activity-7334126494530629632-c9lU";"Quelles sont les 3 plus grands victoires marketing de l'industrie pétro-gazière ??";"8";"0";"Quelles sont les 3 plus grands victoires marketing de l'industrie pétro-gazière ??

1️⃣ que le gaz fossile soit appelé gaz naturel.
C'est naturel donc c'est mignon et inoffensif non ?

2️⃣ qu'on n'arrête pas de parler de l'empreinte carbone personnelle
donc on focalise sur l'individu, ce qu'il fait de bien et de mal au lieu de regarder comment se débarrasser des fossiles.
Merci BP et sa communication à plusieurs centaines de millions de dollar pour populariser le thème

3️⃣ qu'on pense ""vache"" 🐄 ""ruminants"" quand on parle de méthane (alors que le méthane lié à l'exploitation+transport des fossiles est aussi important).

Heureusement on a des personnes comme Sharon Wilson qui traque le méthane fossile pour baisser rapidement les émissions.
Elle est une des icônes de ce mouvement qui permet d'avoir des gains climatiques rapides et efficaces !
L'association Avenirs Energétiques l'invite la semaine prochaine pour qu'elle nous explique son combat et ses victoires.
 
Venez le 3 juin au soir l'écouter et lui poser des questions.

Atelier en anglais.";"Images/posts/7334126494530629632.jpg";"Ordres de grandeur & mythes, Société & post-croissance";"2025-05-30"
"47";"https://www.linkedin.com/posts/arthur-de-lassus_comment-avoir-une-discussion-inform%C3%A9e-sur-activity-7326515895747424256-7v9F";"Comment avoir une discussion informée sur la sobriété ?";"46";"85";"Comment avoir une discussion informée sur la sobriété ?
Ma réponse : en regardant les scénarios de transition en détail.

A ma gauche, le scénario Négawatt, scénario pour un pays riche, la France, portée par une association qui porte la sobriété au coeur de sa démarche.

Quelle place de la sobriété dans la baisse des émissions en 2050 : 15%

A ma droite, le scénario de l'Agence Internationale de l'énergie, pour le monde entier.

Quelle place de la sobriété dans la baisse des émissions en 2050 : 2-3%

Quelques remarques :
-les périmètres sont différents (France vs monde)
-l'AIE traite de la baisse des émissions cumulée
-on parle que de CO2
-les 2 traitent du système énergétique
On ne parle donc pas de l'agriculture où la sobriété/mode d'alimentation a un plus grand rôle en proportion.

Négawatt est défini par ses détracteurs comme un scénario sociosolutionnisme.
L'AIE, en miroir, comme technosolutionniste.
Au-delà des étiquettes, la sobriété comme les technos bas carbone ne tombent pas du ciel et nécessite une transformation sociétale profonde pour arriver dans les temps et que l'on garde une terre habitable.

La sobriété a sa part, la tech a manifestement une part beaucoup plus grande.

Si vous êtes surpris par ce graphique, dites moi pourquoi en commentaire pour qu'on en discute";"Images/posts/7326515895747424256.jpg";"Société & post-croissance";"2025-05-09"
"48";"https://www.linkedin.com/posts/arthur-de-lassus_intro-dr%C3%B4le-mais-de-bonnes-infos-ensuite-activity-7326135713408630785-4tGe";"Intro drôle mais de bonnes infos ensuite ;-)";"13";"1";"Intro drôle mais de bonnes infos ensuite ;-)";"Images/posts/7326135713408630785.jpg";"Liens & veille";"2025-05-08"
"49";"https://www.linkedin.com/posts/arthur-de-lassus_off-campus-activity-7325051703815249920-PW7h";"off-campus";"15";"5";"off-campus";"Images/posts/7325051703815249920.jpg";"Liens & veille";"2025-05-05"
"50";"https://www.linkedin.com/posts/arthur-de-lassus_breaking-news-des-milliers-dutilisateurs-activity-7324150566564077568-6t3x";"BREAKING NEWS : des milliers d'utilisateurs de LinkedIn sont sur le point d'être révélés en tant qu'experts des faiblesses des réseaux électriques espagnol et portugais.";"137";"12";"BREAKING NEWS : des milliers d'utilisateurs de LinkedIn sont sur le point d'être révélés en tant qu'experts des faiblesses des réseaux électriques espagnol et portugais.

Certains avaient « exprimé des inquiétudes en privé depuis un certain temps ».

D'autres avaient même des doutes avant leur naissance.

Plus d'informations sur cet afflux de nouvelles compétences LinkedIn au fur et à mesure qu'elles sont disponibles.";"Images/posts/7324150566564077568.jpg";"Médias & vulgarisation, Société & post-croissance";"2025-05-02"
"51";"https://www.linkedin.com/posts/arthur-de-lassus_ce-jeudi-%C3%A0-13h-janime-un-w%C3%A9binaire-sur-la-activity-7320085366634434561-8U9_";"Ce jeudi à 13h j'anime un wébinaire sur la fin de vie des centrales renouvelables.";"13";"0";"Ce jeudi à 13h j'anime un wébinaire sur la fin de vie des centrales renouvelables.

Pour aller au-delà des clichés et comprendre le potentiel du recyclage, du réemploi, ce qui se fait, ce qui peut être amélioré etc.

3 experts du domaine seront là.

Rdv à 13h jeudi";"Images/posts/7320085366634434561.jpg";"Ateliers & pédagogie, Énergie";"2025-04-21"
"52";"https://www.linkedin.com/posts/arthur-de-lassus_jai-fini-par-trouver-les-d%C3%A9tails-de-laccord-activity-7318891044740206592-68jl";"J’ai fini par trouver les détails de l'accord historique sur la décarbonation du transport maritime.";"30";"10";"J’ai fini par trouver les détails de l'accord historique sur la décarbonation du transport maritime.
Je vous les présente.

D'abord peu de contexte, ce secteur est considéré comme ""très difficile à décarboner"", car on l'entend souvent dans les milieux écolo en France, “ le pétrole a une densité inouïe, inégalable” et “je ne suis pas complètement sûr qu'on puisse faire du transport longue distance avec du renouvelable”

Historique, les associations qui suivaient avec talent et compétences le sujet comme T&E dont je vous recommande les travaux de manière générale ont annoncé que l'accord ne permettrait pas d'atteindre les 1,5°C.

J'étais un peu déprimé en me disant ""c'est parti pour du 2,5°C au mieux”.

Je dois donner quelques détails sur les scénarios de transition.
Pour pas mal de gens autour de moi : 0 CO2 en 2050 = +3°C ou quelque chose comme ça.

Heureusement, nous sommes tout de même dans une bien meilleure posture.
0 émission de CO2 en 2050 = 1,5°C
Et surtout, 2°C = “seulement” une division par 2 des émissions de CO2 en 2050.

À votre avis, l'accord récemment signé implique quel objectif ?
👉 Une division par 5 des émissions. 👈 
Les 1,5 degrés sont manqués mais on se trouve sur une trajectoire autour des 1,7°C.

Pour un secteur difficile à décarboner, international, où le pétrole est censé régner en roi sans partage, c’est une sacrée victoire !

La messe est cependant loin d'être dite, vous en doutez bien.
Les états pétroliers ont pesé pour avoir un accord à minima et très complexe.
Le fonds qui recevra les recettes de la taxe carbone et qui financera les carburants bas carbone risque d'être à sec en 2032.

Il n’empêche.
Un secteur difficile à décarboner vient de s’aligner avec l’Accord de Paris avec un mécanisme à améliorer rapidement pour rendre effective cette décarbonation profonde sur le long terme.
Bravo à tous ceux qui se lèvent le matin pour mettre une bonne claque aux fossiles dans le maritime et garder une planète habitable !";"Images/posts/7318891044740206592.jpg";"Énergie, Ordres de grandeur & mythes";"2025-04-18"
"53";"https://www.linkedin.com/posts/arthur-de-lassus_%C3%A7a-y-est-cest-officiel-le-d%C3%A9couplage-absolu-activity-7318166340924497922-ft2i";"Ça y est c'est officiel, le découplage absolu PIB/CO2 de la Chine a commencé";"18";"14";"Ça y est c'est officiel, le découplage absolu PIB/CO2 de la Chine a commencé
La décroissance en PLS ?

Si vous voulez les détails (et un peu de nuance) sur cette réalité, j'ai fait un post sur le sujet hier.
https://lnkd.in/eyG-Z6X9

Aujourd'hui, j'aimerais me concentrer sur un sujet de fond : la décroissance.
Est-ce qu'on peut arrêter avec les arguments un peu bêta du style “le découpage absolu PIB/CO2 est impossible” ?
Non seulement, on le fait depuis des décennies en Occident (y compris en empreinte) mais surtout, même une économie en forte croissance (+5% de son PIB, +8% de son électricité) comme la Chine y arrive.

Il serait préférable, à mon avis, de se concentrer sur des questions vis-à-vis de la décroissance plus intéressantes mais aussi plus complexes (et à ma connaissance non répondues).
Du style, est-ce que la décroissance permet une décroissance du CO2 plus rapide et plus sûre que la stratégie de la croissance ?
Car, pour reprendre un vocable bien connu dans le milieu écologique, “je ne suis pas complètement sûr” qu'avoir une économie en décroissance rende les investissements colossaux dans la transition plus facile. Décroissance du PIB veut dire décroissance des revenus, ce qui n’est pas facile à engager et si y on ajoute une pression supplémentaire avec des investissements en forte hausse… je me pose la question : comment ça tient ? comment on fait ?
Je ne connais pas d'étude qui réponde à la question et qui compare ses mérites aux scénarios du GIEC (qui présentent tous de la croissance pour l'instant).

La littérature scientifique sur la décroissance est encore trop embryonnaire.
Ce dont je suis sûr, en revanche, c'est que
1/ trop souvent le débat est au niveau des pâquerettes
2/ Le mouvement de la décroissance manque cruellement d'un plan opérationnel, économique, concret pour son idée. Une collection de mesures ne fait pas un plan d'ensemble “qui boucle”, comme on dit. Qui boucle au niveau écologique mais aussi économique et social. Soit dit en passant, ceci n’est pas une critique du monde de la décroissance, étant donné le peu de soutien dans le mouvement dispose, mais une simple observation et une invitation à creuser le sujet.

Mon obsession : proposer un chemin acceptable, juste et sûr pour la baisse très rapide des impacts écologiques.
Continuons à travailler pour en dessiner les contours.";"Images/posts/7318166340924497922.jpg";"Énergie, Politique & débats";"2025-04-16"
"54";"https://www.linkedin.com/posts/arthur-de-lassus_bon-%C3%A7a-y-est-enfin-la-chine-baisse-activity-7317909308329873411-OzIq";"Bon, ça y est, enfin !!";"132";"29";"Bon, ça y est, enfin !!
💥 La Chine baisse ses émissions de CO2💥 

Les émissions françaises sont une goutte dans l'océan mondial des émissions.
Les chinois polluent énormément.
Les chinois n'arrêtent pas de rajouter des nouvelles centrales à charbon.
Les renouvelables ne font que s'ajouter aux autres énergies.
La transition est un leurre.
 
Dans la sinistrose ambiance, les victoires valent le coup d'être célébrées haut et fort.

Une étude est sortie il y a 4 jours dans Nature reviews earth&environment
Cocorico, cet article est co-écrit par Philippe Ciais, notre pointure mondiale du carbone. Merci à lui.

La Chine a connu en 2024 une petite baisse des émissions par rapport à 2023.
On regarde bien les émissions de CO2 (énergie et non énergétique).
La baisse est de -1% (hors secteur des terres c'est-à-dire fossile et ciment) et c'était une hausse de 2,3% en 2023.

Pour suivre la thématique depuis quelques temps maintenant, il faut être prudent.
Pour l'instant, la baisse est assez faible, d'autres données indiquaient une modeste hausse, et les progrès climatiques peuvent être invisibilisés par la conjoncture (pluies pour les barrages, vagues de chaleur etc).

Mais la Chine fait sa part du travail et entreprend une gigantesque entreprise de décarbonation. Prenons exemple sur cette détermination et ce volontarisme.

La tendance de fond est là, nous nous rapprochons du moment où les émissions de CO2 mondiales vont baisser.
+0,9% de hausse en 2024 au niveau mondial, on y est presque.
Il est possible que dans 365 jours, on puisse célébrer 2024 comme le pic des émissions mondiales.

Ne nous emballons pas, restons concentrés, le début de la fin des fossiles est à portée de main !";"Images/posts/7317909308329873411.jpg";"Énergie, Ordres de grandeur & mythes";"2025-04-15"
